% output_type: 'OUTPUT_TYPE_SCATTER'
% log_source: 'SimulationHelper::ProgressCb'
% time_sec gw_id latitude_deg longitude_deg altitude_m
0.2 0 56.02 92.98 0
0.2 1 55.97 92.88 0
0.4 0 56.02 92.98 0
0.4 1 55.97 92.88 0
0.6 0 56.02 92.98 0
0.6 1 55.97 92.88 0
0.8 0 56.02 92.98 0
0.8 1 55.97 92.88 0
1 0 56.02 92.98 0
1 1 55.97 92.88 0
1.2 0 56.02 92.98 0
1.2 1 55.97 92.88 0
1.4 0 56.02 92.98 0
1.4 1 55.97 92.88 0
1.6 0 56.02 92.98 0
1.6 1 55.97 92.88 0
1.8 0 56.02 92.98 0
1.8 1 55.97 92.88 0
2 0 56.02 92.98 0
2 1 55.97 92.88 0
2.2 0 56.02 92.98 0
2.2 1 55.97 92.88 0
2.4 0 56.02 92.98 0
2.4 1 55.97 92.88 0
2.6 0 56.02 92.98 0
2.6 1 55.97 92.88 0
2.8 0 56.02 92.98 0
2.8 1 55.97 92.88 0
3 0 56.02 92.98 0
3 1 55.97 92.88 0
3.2 0 56.02 92.98 0
3.2 1 55.97 92.88 0
3.4 0 56.02 92.98 0
3.4 1 55.97 92.88 0
3.6 0 56.02 92.98 0
3.6 1 55.97 92.88 0
3.8 0 56.02 92.98 0
3.8 1 55.97 92.88 0
4 0 56.02 92.98 0
4 1 55.97 92.88 0
4.2 0 56.02 92.98 0
4.2 1 55.97 92.88 0
4.4 0 56.02 92.98 0
4.4 1 55.97 92.88 0
4.6 0 56.02 92.98 0
4.6 1 55.97 92.88 0
4.8 0 56.02 92.98 0
4.8 1 55.97 92.88 0
5 0 56.02 92.98 0
5 1 55.97 92.88 0
5.2 0 56.02 92.98 0
5.2 1 55.97 92.88 0
5.4 0 56.02 92.98 0
5.4 1 55.97 92.88 0
5.6 0 56.02 92.98 0
5.6 1 55.97 92.88 0
5.8 0 56.02 92.98 0
5.8 1 55.97 92.88 0
6 0 56.02 92.98 0
6 1 55.97 92.88 0
6.2 0 56.02 92.98 0
6.2 1 55.97 92.88 0
6.4 0 56.02 92.98 0
6.4 1 55.97 92.88 0
6.6 0 56.02 92.98 0
6.6 1 55.97 92.88 0
6.8 0 56.02 92.98 0
6.8 1 55.97 92.88 0
7 0 56.02 92.98 0
7 1 55.97 92.88 0
7.2 0 56.02 92.98 0
7.2 1 55.97 92.88 0
7.4 0 56.02 92.98 0
7.4 1 55.97 92.88 0
7.6 0 56.02 92.98 0
7.6 1 55.97 92.88 0
7.8 0 56.02 92.98 0
7.8 1 55.97 92.88 0
8 0 56.02 92.98 0
8 1 55.97 92.88 0
8.2 0 56.02 92.98 0
8.2 1 55.97 92.88 0
8.4 0 56.02 92.98 0
8.4 1 55.97 92.88 0
8.6 0 56.02 92.98 0
8.6 1 55.97 92.88 0
8.8 0 56.02 92.98 0
8.8 1 55.97 92.88 0
9 0 56.02 92.98 0
9 1 55.97 92.88 0
9.2 0 56.02 92.98 0
9.2 1 55.97 92.88 0
9.4 0 56.02 92.98 0
9.4 1 55.97 92.88 0
9.6 0 56.02 92.98 0
9.6 1 55.97 92.88 0
9.8 0 56.02 92.98 0
9.8 1 55.97 92.88 0
