% output_type: 'OUTPUT_TYPE_SCATTER'
% log_source: 'SimulationHelper::ProgressCb'
% time_sec ut_id latitude_deg longitude_deg altitude_m
0.2 0 56 92.95 0
0.2 1 56.03 93 0
0.2 2 55.98 92.9 0
0.2 3 56.05 93.05 0
0.2 4 55.95 92.85 0
0.4 0 56 92.95 0
0.4 1 56.03 93 0
0.4 2 55.98 92.9 0
0.4 3 56.05 93.05 0
0.4 4 55.95 92.85 0
0.6 0 56 92.95 0
0.6 1 56.03 93 0
0.6 2 55.98 92.9 0
0.6 3 56.05 93.05 0
0.6 4 55.95 92.85 0
0.8 0 56 92.95 0
0.8 1 56.03 93 0
0.8 2 55.98 92.9 0
0.8 3 56.05 93.05 0
0.8 4 55.95 92.85 0
1 0 56 92.95 0
1 1 56.03 93 0
1 2 55.98 92.9 0
1 3 56.05 93.05 0
1 4 55.95 92.85 0
1.2 0 56 92.95 0
1.2 1 56.03 93 0
1.2 2 55.98 92.9 0
1.2 3 56.05 93.05 0
1.2 4 55.95 92.85 0
1.4 0 56 92.95 0
1.4 1 56.03 93 0
1.4 2 55.98 92.9 0
1.4 3 56.05 93.05 0
1.4 4 55.95 92.85 0
1.6 0 56 92.95 0
1.6 1 56.03 93 0
1.6 2 55.98 92.9 0
1.6 3 56.05 93.05 0
1.6 4 55.95 92.85 0
1.8 0 56 92.95 0
1.8 1 56.03 93 0
1.8 2 55.98 92.9 0
1.8 3 56.05 93.05 0
1.8 4 55.95 92.85 0
2 0 56 92.95 0
2 1 56.03 93 0
2 2 55.98 92.9 0
2 3 56.05 93.05 0
2 4 55.95 92.85 0
2.2 0 56 92.95 0
2.2 1 56.03 93 0
2.2 2 55.98 92.9 0
2.2 3 56.05 93.05 0
2.2 4 55.95 92.85 0
2.4 0 56 92.95 0
2.4 1 56.03 93 0
2.4 2 55.98 92.9 0
2.4 3 56.05 93.05 0
2.4 4 55.95 92.85 0
2.6 0 56 92.95 0
2.6 1 56.03 93 0
2.6 2 55.98 92.9 0
2.6 3 56.05 93.05 0
2.6 4 55.95 92.85 0
2.8 0 56 92.95 0
2.8 1 56.03 93 0
2.8 2 55.98 92.9 0
2.8 3 56.05 93.05 0
2.8 4 55.95 92.85 0
3 0 56 92.95 0
3 1 56.03 93 0
3 2 55.98 92.9 0
3 3 56.05 93.05 0
3 4 55.95 92.85 0
3.2 0 56 92.95 0
3.2 1 56.03 93 0
3.2 2 55.98 92.9 0
3.2 3 56.05 93.05 0
3.2 4 55.95 92.85 0
3.4 0 56 92.95 0
3.4 1 56.03 93 0
3.4 2 55.98 92.9 0
3.4 3 56.05 93.05 0
3.4 4 55.95 92.85 0
3.6 0 56 92.95 0
3.6 1 56.03 93 0
3.6 2 55.98 92.9 0
3.6 3 56.05 93.05 0
3.6 4 55.95 92.85 0
3.8 0 56 92.95 0
3.8 1 56.03 93 0
3.8 2 55.98 92.9 0
3.8 3 56.05 93.05 0
3.8 4 55.95 92.85 0
4 0 56 92.95 0
4 1 56.03 93 0
4 2 55.98 92.9 0
4 3 56.05 93.05 0
4 4 55.95 92.85 0
4.2 0 56 92.95 0
4.2 1 56.03 93 0
4.2 2 55.98 92.9 0
4.2 3 56.05 93.05 0
4.2 4 55.95 92.85 0
4.4 0 56 92.95 0
4.4 1 56.03 93 0
4.4 2 55.98 92.9 0
4.4 3 56.05 93.05 0
4.4 4 55.95 92.85 0
4.6 0 56 92.95 0
4.6 1 56.03 93 0
4.6 2 55.98 92.9 0
4.6 3 56.05 93.05 0
4.6 4 55.95 92.85 0
4.8 0 56 92.95 0
4.8 1 56.03 93 0
4.8 2 55.98 92.9 0
4.8 3 56.05 93.05 0
4.8 4 55.95 92.85 0
5 0 56 92.95 0
5 1 56.03 93 0
5 2 55.98 92.9 0
5 3 56.05 93.05 0
5 4 55.95 92.85 0
5.2 0 56 92.95 0
5.2 1 56.03 93 0
5.2 2 55.98 92.9 0
5.2 3 56.05 93.05 0
5.2 4 55.95 92.85 0
5.4 0 56 92.95 0
5.4 1 56.03 93 0
5.4 2 55.98 92.9 0
5.4 3 56.05 93.05 0
5.4 4 55.95 92.85 0
5.6 0 56 92.95 0
5.6 1 56.03 93 0
5.6 2 55.98 92.9 0
5.6 3 56.05 93.05 0
5.6 4 55.95 92.85 0
5.8 0 56 92.95 0
5.8 1 56.03 93 0
5.8 2 55.98 92.9 0
5.8 3 56.05 93.05 0
5.8 4 55.95 92.85 0
6 0 56 92.95 0
6 1 56.03 93 0
6 2 55.98 92.9 0
6 3 56.05 93.05 0
6 4 55.95 92.85 0
6.2 0 56 92.95 0
6.2 1 56.03 93 0
6.2 2 55.98 92.9 0
6.2 3 56.05 93.05 0
6.2 4 55.95 92.85 0
6.4 0 56 92.95 0
6.4 1 56.03 93 0
6.4 2 55.98 92.9 0
6.4 3 56.05 93.05 0
6.4 4 55.95 92.85 0
6.6 0 56 92.95 0
6.6 1 56.03 93 0
6.6 2 55.98 92.9 0
6.6 3 56.05 93.05 0
6.6 4 55.95 92.85 0
6.8 0 56 92.95 0
6.8 1 56.03 93 0
6.8 2 55.98 92.9 0
6.8 3 56.05 93.05 0
6.8 4 55.95 92.85 0
7 0 56 92.95 0
7 1 56.03 93 0
7 2 55.98 92.9 0
7 3 56.05 93.05 0
7 4 55.95 92.85 0
7.2 0 56 92.95 0
7.2 1 56.03 93 0
7.2 2 55.98 92.9 0
7.2 3 56.05 93.05 0
7.2 4 55.95 92.85 0
7.4 0 56 92.95 0
7.4 1 56.03 93 0
7.4 2 55.98 92.9 0
7.4 3 56.05 93.05 0
7.4 4 55.95 92.85 0
7.6 0 56 92.95 0
7.6 1 56.03 93 0
7.6 2 55.98 92.9 0
7.6 3 56.05 93.05 0
7.6 4 55.95 92.85 0
7.8 0 56 92.95 0
7.8 1 56.03 93 0
7.8 2 55.98 92.9 0
7.8 3 56.05 93.05 0
7.8 4 55.95 92.85 0
8 0 56 92.95 0
8 1 56.03 93 0
8 2 55.98 92.9 0
8 3 56.05 93.05 0
8 4 55.95 92.85 0
8.2 0 56 92.95 0
8.2 1 56.03 93 0
8.2 2 55.98 92.9 0
8.2 3 56.05 93.05 0
8.2 4 55.95 92.85 0
8.4 0 56 92.95 0
8.4 1 56.03 93 0
8.4 2 55.98 92.9 0
8.4 3 56.05 93.05 0
8.4 4 55.95 92.85 0
8.6 0 56 92.95 0
8.6 1 56.03 93 0
8.6 2 55.98 92.9 0
8.6 3 56.05 93.05 0
8.6 4 55.95 92.85 0
8.8 0 56 92.95 0
8.8 1 56.03 93 0
8.8 2 55.98 92.9 0
8.8 3 56.05 93.05 0
8.8 4 55.95 92.85 0
9 0 56 92.95 0
9 1 56.03 93 0
9 2 55.98 92.9 0
9 3 56.05 93.05 0
9 4 55.95 92.85 0
9.2 0 56 92.95 0
9.2 1 56.03 93 0
9.2 2 55.98 92.9 0
9.2 3 56.05 93.05 0
9.2 4 55.95 92.85 0
9.4 0 56 92.95 0
9.4 1 56.03 93 0
9.4 2 55.98 92.9 0
9.4 3 56.05 93.05 0
9.4 4 55.95 92.85 0
9.6 0 56 92.95 0
9.6 1 56.03 93 0
9.6 2 55.98 92.9 0
9.6 3 56.05 93.05 0
9.6 4 55.95 92.85 0
9.8 0 56 92.95 0
9.8 1 56.03 93 0
9.8 2 55.98 92.9 0
9.8 3 56.05 93.05 0
9.8 4 55.95 92.85 0
