% beam_id collision_rate
3-72 -nan
3-71 -nan
3-70 -nan
3-69 -nan
3-68 -nan
3-67 -nan
3-66 -nan
3-65 -nan
3-64 -nan
3-63 -nan
3-62 -nan
3-61 -nan
3-60 -nan
3-59 -nan
3-58 -nan
3-57 -nan
3-56 -nan
3-55 -nan
3-54 -nan
3-53 -nan
3-52 -nan
3-51 -nan
3-50 -nan
3-49 -nan
3-48 -nan
3-47 -nan
3-46 -nan
3-45 -nan
3-44 -nan
3-43 -nan
3-42 -nan
3-41 -nan
3-40 -nan
3-39 -nan
3-38 -nan
3-37 -nan
3-36 -nan
3-35 -nan
3-34 -nan
3-33 -nan
3-32 -nan
3-31 -nan
3-30 -nan
3-29 -nan
3-28 -nan
3-27 -nan
3-26 -nan
3-25 -nan
3-24 -nan
3-23 -nan
3-22 -nan
3-21 -nan
3-20 -nan
3-19 -nan
3-18 -nan
3-17 -nan
3-16 -nan
3-15 -nan
3-14 -nan
3-13 -nan
3-12 -nan
3-11 -nan
3-10 -nan
3-9 -nan
3-8 -nan
3-7 -nan
3-6 -nan
3-5 -nan
3-4 -nan
3-3 -nan
3-2 -nan
3-1 -nan
2-72 -nan
2-71 -nan
2-70 -nan
2-69 -nan
2-68 -nan
2-67 -nan
2-66 -nan
2-65 -nan
2-64 -nan
2-63 -nan
2-62 -nan
2-61 -nan
2-60 -nan
2-59 -nan
2-58 -nan
2-57 -nan
2-56 -nan
2-55 -nan
2-54 -nan
2-53 -nan
2-52 -nan
2-51 -nan
2-50 -nan
2-49 -nan
2-48 -nan
2-47 -nan
2-46 -nan
2-45 -nan
2-44 -nan
2-43 -nan
2-42 -nan
2-41 -nan
2-40 -nan
2-39 -nan
2-38 -nan
2-37 -nan
2-36 -nan
2-35 -nan
2-34 -nan
2-33 -nan
2-32 -nan
2-31 -nan
2-30 -nan
2-29 -nan
2-28 -nan
2-27 -nan
2-26 -nan
2-25 -nan
2-24 -nan
2-23 -nan
2-22 -nan
2-21 -nan
2-20 -nan
2-19 -nan
2-18 -nan
2-17 -nan
2-16 -nan
2-15 -nan
2-14 -nan
2-13 -nan
2-12 -nan
2-11 -nan
2-10 -nan
2-9 -nan
2-8 -nan
2-7 -nan
2-6 -nan
2-5 -nan
2-4 -nan
2-3 -nan
2-2 -nan
2-1 -nan
1-72 -nan
1-71 -nan
1-70 -nan
1-69 -nan
1-68 -nan
1-67 -nan
1-66 -nan
1-65 -nan
1-64 -nan
1-63 -nan
1-62 -nan
1-61 -nan
1-60 -nan
1-59 -nan
1-58 -nan
1-57 -nan
1-56 -nan
1-55 -nan
1-54 -nan
1-53 -nan
1-52 -nan
1-51 -nan
1-50 -nan
1-49 -nan
1-48 -nan
1-47 -nan
1-46 -nan
1-45 -nan
1-44 -nan
1-43 -nan
1-42 -nan
1-41 -nan
1-40 -nan
1-39 -nan
1-38 -nan
1-37 -nan
1-36 -nan
1-35 -nan
1-34 -nan
1-33 -nan
1-32 -nan
1-31 -nan
1-30 -nan
1-29 -nan
1-28 -nan
1-27 -nan
1-26 -nan
1-25 -nan
1-24 -nan
1-23 -nan
1-22 -nan
1-21 -nan
1-20 -nan
1-19 -nan
1-18 -nan
1-17 -nan
1-16 -nan
1-15 -nan
1-14 -nan
1-13 -nan
1-12 -nan
1-11 -nan
1-10 -nan
1-9 -nan
1-8 -nan
1-7 -nan
1-6 -nan
1-5 -nan
1-4 -nan
1-3 -nan
1-2 -nan
1-1 -nan

