% output_type: 'OUTPUT_TYPE_SCATTER'
% log_source: 'SimulationHelper::ProgressCb'
% time_sec sat_id latitude_deg longitude_deg altitude_m
1.2 0 4.45416 113.898 415377
1.2 1 17.4214 124.734 413063
1.2 2 56.012 92.9679 20000
1.2 3 56.0119 100.968 20000
2.4 0 4.51488 113.941 415367
2.4 1 17.4804 124.781 413052
2.4 2 56.0121 92.9679 20000
2.4 3 56.0119 100.968 20000
3.6 0 4.5756 113.985 415357
3.6 1 17.5393 124.829 413041
3.6 2 56.0122 92.9679 20000
3.6 3 56.0119 100.968 20000
4.8 0 4.63631 114.028 415347
4.8 1 17.5982 124.877 413030
4.8 2 56.0123 92.9679 20000
4.8 3 56.0119 100.968 20000
6 0 4.69702 114.071 415337
6 1 17.6572 124.925 413019
6 2 56.0124 92.9679 20000
6 3 56.0119 100.968 20000
7.2 0 4.75772 114.115 415326
7.2 1 17.716 124.973 413008
7.2 2 56.0126 92.9679 20000
7.2 3 56.0119 100.968 20000
8.4 0 4.81843 114.158 415316
8.4 1 17.7749 125.021 412997
8.4 2 56.0127 92.9679 20000
8.4 3 56.0119 100.968 20000
9.6 0 4.87913 114.202 415306
9.6 1 17.8338 125.069 412986
9.6 2 56.0128 92.9679 20000
9.6 3 56.0119 100.968 20000
10.8 0 4.93982 114.245 415296
10.8 1 17.8927 125.118 412975
10.8 2 56.0128 92.9679 20000
10.8 3 56.0119 100.968 20000
12 0 5.00051 114.289 415286
12 1 17.9515 125.166 412963
12 2 56.0129 92.9679 20000
12 3 56.0119 100.968 20000
13.2 0 5.0612 114.332 415276
13.2 1 18.0103 125.214 412952
13.2 2 56.0131 92.9679 20000
13.2 3 56.0119 100.968 20000
14.4 0 5.12189 114.375 415265
14.4 1 18.0691 125.262 412941
14.4 2 56.0132 92.9679 20000
14.4 3 56.0119 100.968 20000
15.6 0 5.18257 114.419 415255
15.6 1 18.1279 125.31 412930
15.6 2 56.0133 92.9679 20000
15.6 3 56.0119 100.968 20000
16.8 0 5.24325 114.462 415245
16.8 1 18.1867 125.359 412919
16.8 2 56.0134 92.9679 20000
16.8 3 56.0119 100.968 20000
18 0 5.30392 114.506 415235
18 1 18.2455 125.407 412908
18 2 56.0135 92.9679 20000
18 3 56.0119 100.968 20000
19.2 0 5.36459 114.549 415225
19.2 1 18.3042 125.455 412897
19.2 2 56.0137 92.9679 20000
19.2 3 56.0119 100.968 20000
20.4 0 5.42526 114.593 415214
20.4 1 18.363 125.504 412886
20.4 2 56.0137 92.9679 20000
20.4 3 56.0119 100.968 20000
21.6 0 5.48593 114.637 415204
21.6 1 18.4217 125.552 412874
21.6 2 56.0138 92.9679 20000
21.6 3 56.0119 100.968 20000
22.8 0 5.54659 114.68 415194
22.8 1 18.4804 125.601 412863
22.8 2 56.0139 92.9678 20000
22.8 3 56.0119 100.968 20000
24 0 5.60724 114.724 415184
24 1 18.5391 125.649 412852
24 2 56.014 92.9678 20000
24 3 56.0119 100.968 20000
25.2 0 5.66789 114.767 415173
25.2 1 18.5978 125.698 412841
25.2 2 56.0142 92.9678 20000
25.2 3 56.0119 100.968 20000
