% output_type: 'OUTPUT_TYPE_SUM'
% count: 11891
% sum: 52359.2

% time_sec throughput_kbps
1 0
2 345.744
3 437.928
4 440.8
5 440.8
6 440.8
7 440.8
8 440.8
9 440.8
10 440.8
11 440.8
12 440.8
13 440.8
14 440.8
15 440.8
16 440.8
17 440.8
18 440.8
19 440.8
20 440.8
21 440.8
22 440.8
23 440.8
24 440.8
25 440.8
26 440.8
27 440.8
28 440.8
29 440.8
30 440.8
31 440.8
32 440.8
33 440.8
34 440.8
35 440.8
36 440.8
37 440.8
38 440.8
39 440.8
40 440.8
41 440.8
42 440.8
43 440.8
44 440.8
45 440.8
46 440.8
47 440.8
48 440.8
49 440.8
50 440.8
51 440.8
52 440.8
53 440.8
54 440.8
55 440.8
56 440.8
57 440.8
58 440.8
59 440.8
60 440.8
61 440.8
62 440.8
63 440.8
64 440.8
65 440.8
66 440.8
67 440.8
68 440.8
69 440.8
70 440.8
71 440.8
72 440.8
73 440.8
74 441.184
75 441.568
76 441.568
77 440.8
78 440.8
79 440.8
80 440.8
81 440.8
82 440.8
83 440.8
84 440.8
85 440.8
86 440.8
87 440.8
88 440.8
89 440.8
90 440.8
91 440.8
92 440.8
93 440.8
94 440.8
95 440.8
96 440.8
97 440.8
98 440.8
99 440.8
100 440.8
101 440.8
102 440.8
103 440.8
104 440.8
105 440.8
106 440.8
107 440.8
108 440.8
109 440.8
110 440.8
111 440.8
112 440.8
113 440.8
114 440.8
115 440.8
116 440.8
117 440.8
118 440.8
119 440.8

