% output_type: 'OUTPUT_TYPE_SUM'
% count: 23573
% sum: 51845.9

% time_sec throughput_kbps
1 0
2 0.608
3 449.984
4 286.448
5 698.56
6 438.4
7 438.4
8 438.4
9 438.4
10 438.4
11 438.4
12 438.4
13 438.4
14 438.4
15 438.4
16 438.4
17 438.4
18 438.4
19 438.4
20 438.4
21 438.4
22 438.4
23 438.4
24 438.4
25 438.4
26 438.4
27 438.4
28 438.4
29 438.4
30 438.4
31 438.4
32 438.4
33 438.4
34 438.4
35 438.4
36 438.4
37 438.4
38 438.4
39 438.4
40 438.4
41 438.4
42 438.4
43 438.4
44 438.4
45 438.4
46 438.4
47 438.4
48 438.4
49 438.4
50 438.4
51 438.4
52 438.4
53 438.4
54 438.4
55 438.4
56 438.4
57 438.4
58 438.4
59 438.4
60 438.4
61 438.4
62 438.4
63 438.4
64 438.4
65 438.4
66 438.4
67 438.4
68 438.4
69 438.4
70 438.4
71 438.4
72 438.4
73 438.4
74 425.312
75 407.6
76 416.176
77 472.8
78 464.416
79 438.4
80 438.4
81 438.4
82 438.4
83 438.4
84 438.4
85 438.4
86 438.4
87 438.4
88 438.4
89 438.4
90 438.4
91 438.4
92 438.4
93 438.4
94 438.4
95 438.4
96 438.4
97 438.4
98 438.4
99 438.4
100 438.4
101 438.4
102 438.4
103 438.4
104 438.4
105 438.4
106 438.4
107 438.4
108 438.4
109 438.4
110 438.4
111 438.4
112 438.4
113 438.4
114 438.4
115 438.4
116 438.4
117 438.4
118 438.4
119 438.4

