% beam_id service_time
72 480
71 480
70 480
69 480
68 480
67 480
66 480
65 480
64 480
63 480
62 480
61 480
60 480
59 480
58 480
57 480
56 480
55 480
54 480
53 480
52 480
51 480
50 480
49 480
48 480
47 480
46 480
45 480
44 480
43 480
42 480
41 480
40 480
39 480
38 480
37 480
36 480
35 480
34 480
33 480
32 480
31 480
30 480
29 480
28 480
27 480
26 480
25 480
24 480
23 480
22 480
21 480
20 480
19 480
18 480
17 480
16 480
15 480
14 480
13 480
12 480
11 480
10 480
9 480
8 480
7 480
6 480
5 480
4 480
3 480
2 480
1 480

