% output_type: 'OUTPUT_TYPE_SUM'
% count: 773
% sum: 3166.21

% time_sec throughput_kbps
1 0
2 163.84
3 106.496
4 40.96
5 40.96
6 40.96
7 40.96
8 40.96
9 40.96
10 40.96
11 40.96
12 40.96
13 40.96
14 40.96
15 40.96
16 40.96
17 40.96
18 40.96
19 40.96
20 40.96
21 40.96
22 40.96
23 40.96
24 40.96
25 40.96
26 40.96
27 40.96
28 40.96
29 40.96
30 40.96
31 40.96
32 40.96
33 40.96
34 40.96
35 40.96
36 40.96
37 40.96
38 40.96
39 40.96
40 40.96
41 40.96
42 40.96
43 40.96
44 40.96
45 40.96
46 40.96
47 40.96
48 40.96
49 40.96
50 40.96
51 40.96
52 40.96
53 40.96
54 40.96
55 40.96
56 40.96
57 40.96
58 40.96
59 40.96
60 40.96
61 40.96
62 40.96
63 40.96
64 40.96
65 40.96
66 40.96
67 40.96
68 40.96
69 40.96
70 40.96
71 40.96
72 40.96
73 40.96
74 28.672
75 0
76 0
77 0
78 0
79 0
80 0
81 0
82 0
83 0
84 0
85 0
86 0
87 0
88 0
89 0
90 0
91 0
92 0
93 0
94 0
95 0
96 0
97 0
98 0
99 0
100 0
101 0
102 0
103 0
104 0
105 0
106 0
107 0
108 0
109 0
110 0
111 0
112 0
113 0
114 0
115 0
116 0
117 0
118 0
119 0

