% output_type: 'OUTPUT_TYPE_SUM'
% count: 6721
% sum: 29585.9

% time_sec throughput_kbps
1 0
2 345.744
3 336.544
4 264.48
5 264.48
6 264.48
7 264.48
8 264.48
9 264.48
10 264.48
11 264.48
12 264.48
13 264.48
14 264.48
15 264.48
16 264.48
17 264.48
18 264.48
19 264.48
20 264.48
21 264.48
22 264.48
23 264.48
24 264.48
25 264.48
26 264.48
27 264.48
28 264.48
29 264.48
30 264.48
31 264.48
32 264.48
33 264.48
34 264.48
35 264.48
36 264.48
37 264.48
38 264.48
39 264.48
40 264.48
41 264.48
42 264.48
43 264.48
44 264.48
45 264.48
46 264.48
47 264.48
48 264.48
49 264.48
50 264.48
51 264.48
52 264.48
53 264.48
54 264.48
55 264.48
56 264.48
57 264.48
58 264.48
59 264.48
60 264.48
61 264.48
62 264.48
63 264.48
64 264.48
65 264.48
66 264.48
67 264.48
68 264.48
69 264.48
70 264.48
71 264.48
72 264.48
73 264.48
74 251.64
75 220.4
76 220.4
77 220.4
78 220.4
79 220.4
80 220.4
81 220.4
82 220.4
83 220.4
84 220.4
85 220.4
86 220.4
87 220.4
88 220.4
89 220.4
90 220.4
91 220.4
92 220.4
93 220.4
94 220.4
95 220.4
96 220.4
97 220.4
98 220.4
99 220.4
100 220.4
101 220.4
102 220.4
103 220.4
104 220.4
105 220.4
106 220.4
107 220.4
108 220.4
109 220.4
110 220.4
111 220.4
112 220.4
113 220.4
114 220.4
115 220.4
116 220.4
117 220.4
118 220.4
119 220.4

