% output_type: 'OUTPUT_TYPE_SUM'
% count: 11815
% sum: 48394.2

% time_sec throughput_kbps
1 0
2 0
3 409.6
4 266.24
5 618.496
6 409.6
7 409.6
8 409.6
9 409.6
10 409.6
11 409.6
12 409.6
13 409.6
14 409.6
15 409.6
16 409.6
17 409.6
18 409.6
19 409.6
20 409.6
21 409.6
22 409.6
23 409.6
24 409.6
25 409.6
26 409.6
27 409.6
28 409.6
29 409.6
30 409.6
31 409.6
32 409.6
33 409.6
34 409.6
35 409.6
36 409.6
37 409.6
38 409.6
39 409.6
40 409.6
41 409.6
42 409.6
43 409.6
44 409.6
45 409.6
46 409.6
47 409.6
48 409.6
49 409.6
50 409.6
51 409.6
52 409.6
53 409.6
54 409.6
55 409.6
56 409.6
57 409.6
58 409.6
59 409.6
60 409.6
61 409.6
62 409.6
63 409.6
64 409.6
65 409.6
66 409.6
67 409.6
68 409.6
69 409.6
70 409.6
71 409.6
72 409.6
73 409.6
74 397.312
75 380.928
76 389.12
77 442.368
78 434.176
79 409.6
80 409.6
81 409.6
82 409.6
83 409.6
84 409.6
85 409.6
86 409.6
87 409.6
88 409.6
89 409.6
90 409.6
91 409.6
92 409.6
93 409.6
94 409.6
95 409.6
96 409.6
97 409.6
98 409.6
99 409.6
100 409.6
101 409.6
102 409.6
103 409.6
104 409.6
105 409.6
106 409.6
107 409.6
108 409.6
109 409.6
110 409.6
111 409.6
112 409.6
113 409.6
114 409.6
115 409.6
116 409.6
117 409.6
118 409.6
119 409.6

