% output_type: 'OUTPUT_TYPE_SUM'
% count: 13303
% sum: 29218.2

% time_sec throughput_kbps
1 0
2 0.608
3 449.984
4 284.72
5 263.04
6 263.04
7 263.04
8 263.04
9 263.04
10 263.04
11 263.04
12 263.04
13 263.04
14 263.04
15 263.04
16 263.04
17 263.04
18 263.04
19 263.04
20 263.04
21 263.04
22 263.04
23 263.04
24 263.04
25 263.04
26 263.04
27 263.04
28 263.04
29 263.04
30 263.04
31 263.04
32 263.04
33 263.04
34 263.04
35 263.04
36 263.04
37 263.04
38 263.04
39 263.04
40 263.04
41 263.04
42 263.04
43 263.04
44 263.04
45 263.04
46 263.04
47 263.04
48 263.04
49 263.04
50 263.04
51 263.04
52 263.04
53 263.04
54 263.04
55 263.04
56 263.04
57 263.04
58 263.04
59 263.04
60 263.04
61 263.04
62 263.04
63 263.04
64 263.04
65 263.04
66 263.04
67 263.04
68 263.04
69 263.04
70 263.04
71 263.04
72 263.04
73 263.04
74 249.952
75 219.2
76 219.2
77 219.2
78 219.2
79 219.2
80 219.2
81 219.2
82 219.2
83 219.2
84 219.2
85 219.2
86 219.2
87 219.2
88 219.2
89 219.2
90 219.2
91 219.2
92 219.2
93 219.2
94 219.2
95 219.2
96 219.2
97 219.2
98 219.2
99 219.2
100 219.2
101 219.2
102 219.2
103 219.2
104 219.2
105 219.2
106 219.2
107 219.2
108 219.2
109 219.2
110 219.2
111 219.2
112 219.2
113 219.2
114 219.2
115 219.2
116 219.2
117 219.2
118 219.2
119 219.2

