% output_type: 'OUTPUT_TYPE_SUM'
% count: 10573
% sum: 22886.1

% time_sec throughput_kbps
1 0
2 0
3 0
4 239.648
5 427.104
6 175.36
7 175.36
8 175.36
9 175.36
10 175.36
11 175.36
12 175.36
13 175.36
14 175.36
15 175.36
16 175.36
17 175.36
18 175.36
19 175.36
20 175.36
21 175.36
22 175.36
23 175.36
24 175.36
25 175.36
26 175.36
27 175.36
28 175.36
29 175.36
30 175.36
31 175.36
32 175.36
33 175.36
34 175.36
35 175.36
36 175.36
37 175.36
38 175.36
39 175.36
40 175.36
41 175.36
42 175.36
43 175.36
44 175.36
45 175.36
46 175.36
47 175.36
48 175.36
49 175.36
50 175.36
51 175.36
52 175.36
53 175.36
54 175.36
55 175.36
56 175.36
57 175.36
58 175.36
59 175.36
60 175.36
61 175.36
62 175.36
63 175.36
64 175.36
65 175.36
66 175.36
67 175.36
68 175.36
69 175.36
70 175.36
71 175.36
72 175.36
73 175.36
74 175.36
75 201.888
76 216.072
77 263.488
78 231.672
79 219.2
80 219.2
81 219.2
82 219.2
83 219.2
84 219.2
85 219.2
86 219.2
87 219.2
88 219.2
89 219.2
90 219.2
91 219.2
92 219.2
93 219.2
94 219.2
95 219.2
96 219.2
97 219.2
98 219.2
99 219.2
100 219.2
101 219.2
102 219.2
103 219.2
104 219.2
105 219.2
106 219.2
107 219.2
108 219.2
109 219.2
110 219.2
111 219.2
112 219.2
113 219.2
114 219.2
115 219.2
116 219.2
117 219.2
118 219.2
119 219.2

