% output_type: 'OUTPUT_TYPE_SUM'
% count: 2255
% sum: 9236.48

% time_sec throughput_kbps
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
50 0
51 0
52 0
53 0
54 0
55 0
56 0
57 0
58 0
59 0
60 0
61 0
62 0
63 0
64 0
65 0
66 0
67 0
68 0
69 0
70 0
71 0
72 0
73 0
74 12.288
75 65.536
76 147.456
77 204.8
78 204.8
79 204.8
80 204.8
81 204.8
82 204.8
83 204.8
84 204.8
85 204.8
86 204.8
87 204.8
88 204.8
89 204.8
90 204.8
91 204.8
92 204.8
93 204.8
94 204.8
95 204.8
96 204.8
97 204.8
98 204.8
99 204.8
100 204.8
101 204.8
102 204.8
103 204.8
104 204.8
105 204.8
106 204.8
107 204.8
108 204.8
109 204.8
110 204.8
111 204.8
112 204.8
113 204.8
114 204.8
115 204.8
116 204.8
117 204.8
118 204.8
119 204.8

