% output_type: 'OUTPUT_TYPE_SUM'
% count: 6708
% sum: 27476

% time_sec throughput_kbps
1 0
2 307.2
3 311.296
4 245.76
5 245.76
6 245.76
7 245.76
8 245.76
9 245.76
10 245.76
11 245.76
12 245.76
13 245.76
14 245.76
15 245.76
16 245.76
17 245.76
18 245.76
19 245.76
20 245.76
21 245.76
22 245.76
23 245.76
24 245.76
25 245.76
26 245.76
27 245.76
28 245.76
29 245.76
30 245.76
31 245.76
32 245.76
33 245.76
34 245.76
35 245.76
36 245.76
37 245.76
38 245.76
39 245.76
40 245.76
41 245.76
42 245.76
43 245.76
44 245.76
45 245.76
46 245.76
47 245.76
48 245.76
49 245.76
50 245.76
51 245.76
52 245.76
53 245.76
54 245.76
55 245.76
56 245.76
57 245.76
58 245.76
59 245.76
60 245.76
61 245.76
62 245.76
63 245.76
64 245.76
65 245.76
66 245.76
67 245.76
68 245.76
69 245.76
70 245.76
71 245.76
72 245.76
73 245.76
74 233.472
75 204.8
76 204.8
77 204.8
78 204.8
79 204.8
80 204.8
81 204.8
82 204.8
83 204.8
84 204.8
85 204.8
86 204.8
87 204.8
88 204.8
89 204.8
90 204.8
91 204.8
92 204.8
93 204.8
94 204.8
95 204.8
96 204.8
97 204.8
98 204.8
99 204.8
100 204.8
101 204.8
102 204.8
103 204.8
104 204.8
105 204.8
106 204.8
107 204.8
108 204.8
109 204.8
110 204.8
111 204.8
112 204.8
113 204.8
114 204.8
115 204.8
116 204.8
117 204.8
118 204.8
119 204.8

