% output_type: 'OUTPUT_TYPE_SCATTER'
% log_source: 'SimulationHelper::ProgressCb'
% time_sec sat_id latitude_deg longitude_deg altitude_m
0.2 0 4.40356 113.862 415386
0.2 1 17.3723 124.694 413073
0.2 2 56.0119 92.9679 20000
0.4 0 4.41368 113.869 415384
0.4 1 17.3821 124.702 413071
0.4 2 56.0119 92.9679 20000
0.6 0 4.4238 113.876 415382
0.6 1 17.3919 124.71 413069
0.6 2 56.0119 92.9679 20000
0.8 0 4.43392 113.883 415380
0.8 1 17.4018 124.718 413067
0.8 2 56.0119 92.9679 20000
1 0 4.44404 113.891 415379
1 1 17.4116 124.726 413065
1 2 56.012 92.9679 20000
1.2 0 4.45416 113.898 415377
1.2 1 17.4214 124.734 413063
1.2 2 56.012 92.9679 20000
1.4 0 4.46428 113.905 415375
1.4 1 17.4312 124.742 413062
1.4 2 56.012 92.9679 20000
1.6 0 4.4744 113.912 415374
1.6 1 17.4411 124.749 413060
1.6 2 56.012 92.9679 20000
1.8 0 4.48452 113.919 415372
1.8 1 17.4509 124.757 413058
1.8 2 56.012 92.9679 20000
2 0 4.49464 113.927 415370
2 1 17.4607 124.765 413056
2 2 56.0121 92.9679 20000
2.2 0 4.50476 113.934 415369
2.2 1 17.4705 124.773 413054
2.2 2 56.0121 92.9679 20000
2.4 0 4.51488 113.941 415367
2.4 1 17.4804 124.781 413052
2.4 2 56.0121 92.9679 20000
2.6 0 4.525 113.948 415365
2.6 1 17.4902 124.789 413050
2.6 2 56.0121 92.9679 20000
2.8 0 4.53512 113.956 415364
2.8 1 17.5 124.797 413049
2.8 2 56.0121 92.9679 20000
3 0 4.54524 113.963 415362
3 1 17.5098 124.805 413047
3 2 56.0122 92.9679 20000
3.2 0 4.55536 113.97 415360
3.2 1 17.5197 124.813 413045
3.2 2 56.0122 92.9679 20000
3.4 0 4.56548 113.977 415359
3.4 1 17.5295 124.821 413043
3.4 2 56.0122 92.9679 20000
3.6 0 4.5756 113.985 415357
3.6 1 17.5393 124.829 413041
3.6 2 56.0122 92.9679 20000
3.8 0 4.58572 113.992 415355
3.8 1 17.5491 124.837 413039
3.8 2 56.0122 92.9679 20000
4 0 4.59584 113.999 415354
4 1 17.559 124.845 413037
4 2 56.0123 92.9679 20000
4.2 0 4.60595 114.006 415352
4.2 1 17.5688 124.853 413036
4.2 2 56.0123 92.9679 20000
4.4 0 4.61607 114.013 415350
4.4 1 17.5786 124.861 413034
4.4 2 56.0123 92.9679 20000
4.6 0 4.62619 114.021 415348
4.6 1 17.5884 124.869 413032
4.6 2 56.0123 92.9679 20000
4.8 0 4.63631 114.028 415347
4.8 1 17.5982 124.877 413030
4.8 2 56.0123 92.9679 20000
5 0 4.64643 114.035 415345
5 1 17.6081 124.885 413028
5 2 56.0124 92.9679 20000
5.2 0 4.65655 114.042 415343
5.2 1 17.6179 124.893 413026
5.2 2 56.0124 92.9679 20000
5.4 0 4.66666 114.05 415342
5.4 1 17.6277 124.901 413025
5.4 2 56.0124 92.9679 20000
5.6 0 4.67678 114.057 415340
5.6 1 17.6375 124.909 413023
5.6 2 56.0124 92.9679 20000
5.8 0 4.6869 114.064 415338
5.8 1 17.6473 124.917 413021
5.8 2 56.0124 92.9679 20000
6 0 4.69702 114.071 415337
6 1 17.6572 124.925 413019
6 2 56.0125 92.9679 20000
6.2 0 4.70714 114.079 415335
6.2 1 17.667 124.933 413017
6.2 2 56.0125 92.9679 20000
6.4 0 4.71725 114.086 415333
6.4 1 17.6768 124.941 413015
6.4 2 56.0125 92.9679 20000
6.6 0 4.72737 114.093 415332
6.6 1 17.6866 124.949 413013
6.6 2 56.0125 92.9679 20000
6.8 0 4.73749 114.1 415330
6.8 1 17.6964 124.957 413012
6.8 2 56.0125 92.9679 20000
7 0 4.74761 114.108 415328
7 1 17.7062 124.965 413010
7 2 56.0126 92.9679 20000
7.2 0 4.75772 114.115 415326
7.2 1 17.716 124.973 413008
7.2 2 56.0126 92.9679 20000
7.4 0 4.76784 114.122 415325
7.4 1 17.7259 124.981 413006
7.4 2 56.0126 92.9679 20000
7.6 0 4.77796 114.129 415323
7.6 1 17.7357 124.989 413004
7.6 2 56.0126 92.9679 20000
7.8 0 4.78808 114.136 415321
7.8 1 17.7455 124.997 413002
7.8 2 56.0126 92.9679 20000
8 0 4.79819 114.144 415320
8 1 17.7553 125.005 413000
8 2 56.0127 92.9679 20000
8.2 0 4.80831 114.151 415318
8.2 1 17.7651 125.013 412999
8.2 2 56.0127 92.9679 20000
8.4 0 4.81843 114.158 415316
8.4 1 17.7749 125.021 412997
8.4 2 56.0127 92.9679 20000
8.6 0 4.82854 114.165 415315
8.6 1 17.7847 125.029 412995
8.6 2 56.0127 92.9679 20000
8.8 0 4.83866 114.173 415313
8.8 1 17.7946 125.037 412993
8.8 2 56.0127 92.9679 20000
9 0 4.84878 114.18 415311
9 1 17.8044 125.045 412991
9 2 56.0128 92.9679 20000
9.2 0 4.85889 114.187 415310
9.2 1 17.8142 125.053 412989
9.2 2 56.0128 92.9679 20000
9.4 0 4.86901 114.194 415308
9.4 1 17.824 125.061 412987
9.4 2 56.0128 92.9679 20000
9.6 0 4.87913 114.202 415306
9.6 1 17.8338 125.069 412986
9.6 2 56.0128 92.9679 20000
9.8 0 4.88924 114.209 415304
9.8 1 17.8436 125.077 412984
9.8 2 56.0128 92.9679 20000
