% output_type: 'OUTPUT_TYPE_SCATTER'
% log_source: 'SimulationHelper::ProgressCb'
% time_sec ut_id latitude_deg longitude_deg altitude_m
0.2 0 56 92.95 0
0.2 1 56.03 93 0
0.2 2 55.98 92.9 0
0.2 3 56.05 93.05 0
0.2 4 55.95 92.85 0
0.4 0 56 92.95 0
0.4 1 56.03 93 0
0.4 2 55.98 92.9 0
0.4 3 56.05 93.05 0
0.4 4 55.95 92.85 0
0.6 0 56 92.95 0
0.6 1 56.03 93 0
0.6 2 55.98 92.9 0
0.6 3 56.05 93.05 0
0.6 4 55.95 92.85 0
0.8 0 56 92.95 0
0.8 1 56.03 93 0
0.8 2 55.98 92.9 0
0.8 3 56.05 93.05 0
0.8 4 55.95 92.85 0
1 0 56 92.95 0
1 1 56.03 93 0
1 2 55.98 92.9 0
1 3 56.05 93.05 0
1 4 55.95 92.85 0
1.2 0 56 92.95 0
1.2 1 56.03 93 0
1.2 2 55.98 92.9 0
1.2 3 56.05 93.05 0
1.2 4 55.95 92.85 0
1.4 0 56 92.95 0
1.4 1 56.03 93 0
1.4 2 55.98 92.9 0
1.4 3 56.05 93.05 0
1.4 4 55.95 92.85 0
1.6 0 56 92.95 0
1.6 1 56.03 93 0
1.6 2 55.98 92.9 0
1.6 3 56.05 93.05 0
1.6 4 55.95 92.85 0
1.8 0 56 92.95 0
1.8 1 56.03 93 0
1.8 2 55.98 92.9 0
1.8 3 56.05 93.05 0
1.8 4 55.95 92.85 0
