% output_type: 'OUTPUT_TYPE_SCATTER'
% log_source: 'SimulationHelper::ProgressCb'
% time_sec sat_id latitude_deg longitude_deg altitude_m
1 0 4.44404 113.891 415379
1 1 17.4116 124.726 413065
2 0 4.49464 113.927 415370
2 1 17.4607 124.765 413056
3 0 4.54524 113.963 415362
3 1 17.5098 124.805 413047
4 0 4.59584 113.999 415354
4 1 17.559 124.845 413037
5 0 4.64643 114.035 415345
5 1 17.6081 124.885 413028
6 0 4.69702 114.071 415337
6 1 17.6572 124.925 413019
7 0 4.74761 114.108 415328
7 1 17.7062 124.965 413010
8 0 4.79819 114.144 415320
8 1 17.7553 125.005 413000
9 0 4.84878 114.18 415311
9 1 17.8044 125.045 412991
10 0 4.89936 114.216 415303
10 1 17.8534 125.085 412982
11 0 4.94994 114.252 415294
11 1 17.9025 125.126 412973
12 0 5.00051 114.289 415286
12 1 17.9515 125.166 412963
13 0 5.05109 114.325 415277
13 1 18.0005 125.206 412954
14 0 5.10166 114.361 415269
14 1 18.0495 125.246 412945
15 0 5.15223 114.397 415260
15 1 18.0985 125.286 412936
16 0 5.2028 114.433 415252
16 1 18.1475 125.326 412926
17 0 5.25336 114.47 415243
17 1 18.1965 125.367 412917
18 0 5.30392 114.506 415235
18 1 18.2455 125.407 412908
19 0 5.35448 114.542 415226
19 1 18.2944 125.447 412899
20 0 5.40504 114.578 415218
20 1 18.3434 125.488 412889
21 0 5.45559 114.615 415209
21 1 18.3923 125.528 412880
22 0 5.50615 114.651 415201
22 1 18.4413 125.568 412871
23 0 5.5567 114.687 415192
23 1 18.4902 125.609 412862
24 0 5.60724 114.724 415184
24 1 18.5391 125.649 412852
25 0 5.65779 114.76 415175
25 1 18.588 125.69 412843
26 0 5.70833 114.796 415167
26 1 18.6369 125.73 412834
27 0 5.75887 114.833 415158
27 1 18.6858 125.771 412824
28 0 5.8094 114.869 415149
28 1 18.7346 125.811 412815
29 0 5.85993 114.905 415141
29 1 18.7835 125.852 412806
30 0 5.91046 114.941 415132
30 1 18.8324 125.892 412797
31 0 5.96099 114.978 415124
31 1 18.8812 125.933 412787
32 0 6.01152 115.014 415115
32 1 18.93 125.974 412778
33 0 6.06204 115.051 415107
33 1 18.9788 126.014 412769
34 0 6.11256 115.087 415098
34 1 19.0276 126.055 412760
35 0 6.16307 115.123 415089
35 1 19.0764 126.096 412750
36 0 6.21359 115.16 415081
36 1 19.1252 126.137 412741
37 0 6.2641 115.196 415072
37 1 19.174 126.177 412732
38 0 6.3146 115.232 415064
38 1 19.2228 126.218 412722
39 0 6.36511 115.269 415055
39 1 19.2715 126.259 412713
40 0 6.41561 115.305 415046
40 1 19.3202 126.3 412704
41 0 6.4661 115.342 415038
41 1 19.369 126.341 412695
42 0 6.5166 115.378 415029
42 1 19.4177 126.382 412685
43 0 6.56709 115.415 415020
43 1 19.4664 126.423 412676
44 0 6.61758 115.451 415012
44 1 19.5151 126.463 412667
45 0 6.66806 115.487 415003
45 1 19.5638 126.504 412657
46 0 6.71855 115.524 414995
46 1 19.6125 126.545 412648
47 0 6.76902 115.56 414986
47 1 19.6611 126.587 412639
48 0 6.8195 115.597 414977
48 1 19.7098 126.628 412630
49 0 6.86997 115.633 414969
49 1 19.7584 126.669 412620
50 0 6.92044 115.67 414960
50 1 19.807 126.71 412611
51 0 6.97091 115.706 414951
51 1 19.8556 126.751 412602
52 0 7.02137 115.743 414943
52 1 19.9043 126.792 412592
53 0 7.07183 115.779 414934
53 1 19.9528 126.833 412583
54 0 7.12228 115.816 414925
54 1 20.0014 126.875 412574
55 0 7.17273 115.853 414917
55 1 20.05 126.916 412565
56 0 7.22318 115.889 414908
56 1 20.0986 126.957 412555
57 0 7.27363 115.926 414899
57 1 20.1471 126.999 412546
58 0 7.32407 115.962 414891
58 1 20.1956 127.04 412537
59 0 7.3745 115.999 414882
59 1 20.2442 127.081 412528
60 0 7.42494 116.035 414873
60 1 20.2927 127.123 412518
61 0 7.47537 116.072 414864
61 1 20.3412 127.164 412509
62 0 7.5258 116.109 414856
62 1 20.3897 127.206 412500
63 0 7.57622 116.145 414847
63 1 20.4382 127.247 412490
64 0 7.62664 116.182 414838
64 1 20.4866 127.289 412481
65 0 7.67705 116.218 414830
65 1 20.5351 127.33 412472
66 0 7.72747 116.255 414821
66 1 20.5835 127.372 412463
67 0 7.77787 116.292 414812
67 1 20.6319 127.413 412453
68 0 7.82828 116.328 414803
68 1 20.6804 127.455 412444
69 0 7.87868 116.365 414795
69 1 20.7288 127.497 412435
70 0 7.92907 116.402 414786
70 1 20.7772 127.538 412425
71 0 7.97947 116.438 414777
71 1 20.8255 127.58 412416
72 0 8.02986 116.475 414768
72 1 20.8739 127.622 412407
73 0 8.08024 116.512 414760
73 1 20.9223 127.664 412398
74 0 8.13062 116.549 414751
74 1 20.9706 127.706 412388
75 0 8.181 116.585 414742
75 1 21.019 127.747 412379
76 0 8.23137 116.622 414733
76 1 21.0673 127.789 412370
77 0 8.28174 116.659 414725
77 1 21.1156 127.831 412360
78 0 8.33211 116.696 414716
78 1 21.1639 127.873 412351
79 0 8.38247 116.732 414707
79 1 21.2122 127.915 412342
80 0 8.43282 116.769 414698
80 1 21.2604 127.957 412333
81 0 8.48318 116.806 414689
81 1 21.3087 127.999 412323
82 0 8.53352 116.843 414681
82 1 21.3569 128.041 412314
83 0 8.58387 116.88 414672
83 1 21.4052 128.083 412305
84 0 8.63421 116.917 414663
84 1 21.4534 128.125 412296
85 0 8.68454 116.953 414654
85 1 21.5016 128.168 412286
86 0 8.73487 116.99 414645
86 1 21.5498 128.21 412277
87 0 8.7852 117.027 414637
87 1 21.598 128.252 412268
88 0 8.83552 117.064 414628
88 1 21.6461 128.294 412258
89 0 8.88584 117.101 414619
89 1 21.6943 128.336 412249
90 0 8.93616 117.138 414610
90 1 21.7424 128.379 412240
91 0 8.98647 117.175 414601
91 1 21.7906 128.421 412231
92 0 9.03677 117.212 414593
92 1 21.8387 128.464 412221
93 0 9.08707 117.249 414584
93 1 21.8868 128.506 412212
94 0 9.13737 117.285 414575
94 1 21.9349 128.548 412203
95 0 9.18766 117.322 414566
95 1 21.983 128.591 412194
96 0 9.23795 117.359 414557
96 1 22.031 128.633 412184
97 0 9.28823 117.396 414548
97 1 22.0791 128.676 412175
98 0 9.33851 117.433 414539
98 1 22.1271 128.718 412166
99 0 9.38878 117.47 414531
99 1 22.1752 128.761 412156
% output_type: 'OUTPUT_TYPE_SCATTER'
% log_source: 'SimulationHelper::ProgressCb'
% time_sec sat_id latitude_deg longitude_deg altitude_m
1 0 4.44404 113.891 415379
1 1 17.4116 124.726 413065
2 0 4.49464 113.927 415370
2 1 17.4607 124.765 413056
3 0 4.54524 113.963 415362
3 1 17.5098 124.805 413047
4 0 4.59584 113.999 415354
4 1 17.559 124.845 413037
5 0 4.64643 114.035 415345
5 1 17.6081 124.885 413028
6 0 4.69702 114.071 415337
6 1 17.6572 124.925 413019
7 0 4.74761 114.108 415328
7 1 17.7062 124.965 413010
8 0 4.79819 114.144 415320
8 1 17.7553 125.005 413000
9 0 4.84878 114.18 415311
9 1 17.8044 125.045 412991
10 0 4.89936 114.216 415303
10 1 17.8534 125.085 412982
11 0 4.94994 114.252 415294
11 1 17.9025 125.126 412973
12 0 5.00051 114.289 415286
12 1 17.9515 125.166 412963
13 0 5.05109 114.325 415277
13 1 18.0005 125.206 412954
14 0 5.10166 114.361 415269
14 1 18.0495 125.246 412945
15 0 5.15223 114.397 415260
15 1 18.0985 125.286 412936
16 0 5.2028 114.433 415252
16 1 18.1475 125.326 412926
17 0 5.25336 114.47 415243
17 1 18.1965 125.367 412917
18 0 5.30392 114.506 415235
18 1 18.2455 125.407 412908
19 0 5.35448 114.542 415226
19 1 18.2944 125.447 412899
20 0 5.40504 114.578 415218
20 1 18.3434 125.488 412889
21 0 5.45559 114.615 415209
21 1 18.3923 125.528 412880
22 0 5.50615 114.651 415201
22 1 18.4413 125.568 412871
23 0 5.5567 114.687 415192
23 1 18.4902 125.609 412862
24 0 5.60724 114.724 415184
24 1 18.5391 125.649 412852
25 0 5.65779 114.76 415175
25 1 18.588 125.69 412843
26 0 5.70833 114.796 415167
26 1 18.6369 125.73 412834
27 0 5.75887 114.833 415158
27 1 18.6858 125.771 412824
28 0 5.8094 114.869 415149
28 1 18.7346 125.811 412815
29 0 5.85993 114.905 415141
29 1 18.7835 125.852 412806
30 0 5.91046 114.941 415132
30 1 18.8324 125.892 412797
31 0 5.96099 114.978 415124
31 1 18.8812 125.933 412787
32 0 6.01152 115.014 415115
32 1 18.93 125.974 412778
33 0 6.06204 115.051 415107
33 1 18.9788 126.014 412769
34 0 6.11256 115.087 415098
34 1 19.0276 126.055 412760
35 0 6.16307 115.123 415089
