% output_type: 'OUTPUT_TYPE_SCATTER'
% log_source: 'SimulationHelper::ProgressCb'
% time_sec ut_id latitude_deg longitude_deg altitude_m
1 0 20 110 0
1 1 21 111 0
1 2 19 110 0
1 3 18 115 0
1 4 15 120 0
2 0 20 110 0
2 1 21 111 0
2 2 19 110 0
2 3 18 115 0
2 4 15 120 0
3 0 20 110 0
3 1 21 111 0
3 2 19 110 0
3 3 18 115 0
3 4 15 120 0
4 0 20 110 0
4 1 21 111 0
4 2 19 110 0
4 3 18 115 0
4 4 15 120 0
5 0 20 110 0
5 1 21 111 0
5 2 19 110 0
5 3 18 115 0
5 4 15 120 0
6 0 20 110 0
6 1 21 111 0
6 2 19 110 0
6 3 18 115 0
6 4 15 120 0
7 0 20 110 0
7 1 21 111 0
7 2 19 110 0
7 3 18 115 0
7 4 15 120 0
8 0 20 110 0
8 1 21 111 0
8 2 19 110 0
8 3 18 115 0
8 4 15 120 0
9 0 20 110 0
9 1 21 111 0
9 2 19 110 0
9 3 18 115 0
9 4 15 120 0
10 0 20 110 0
10 1 21 111 0
10 2 19 110 0
10 3 18 115 0
10 4 15 120 0
11 0 20 110 0
11 1 21 111 0
11 2 19 110 0
11 3 18 115 0
11 4 15 120 0
12 0 20 110 0
12 1 21 111 0
12 2 19 110 0
12 3 18 115 0
12 4 15 120 0
13 0 20 110 0
13 1 21 111 0
13 2 19 110 0
13 3 18 115 0
13 4 15 120 0
14 0 20 110 0
14 1 21 111 0
14 2 19 110 0
14 3 18 115 0
14 4 15 120 0
15 0 20 110 0
15 1 21 111 0
15 2 19 110 0
15 3 18 115 0
15 4 15 120 0
16 0 20 110 0
16 1 21 111 0
16 2 19 110 0
16 3 18 115 0
16 4 15 120 0
17 0 20 110 0
17 1 21 111 0
17 2 19 110 0
17 3 18 115 0
17 4 15 120 0
18 0 20 110 0
18 1 21 111 0
18 2 19 110 0
18 3 18 115 0
18 4 15 120 0
19 0 20 110 0
19 1 21 111 0
19 2 19 110 0
19 3 18 115 0
19 4 15 120 0
20 0 20 110 0
20 1 21 111 0
20 2 19 110 0
20 3 18 115 0
20 4 15 120 0
21 0 20 110 0
21 1 21 111 0
21 2 19 110 0
21 3 18 115 0
21 4 15 120 0
22 0 20 110 0
22 1 21 111 0
22 2 19 110 0
22 3 18 115 0
22 4 15 120 0
23 0 20 110 0
23 1 21 111 0
23 2 19 110 0
23 3 18 115 0
23 4 15 120 0
24 0 20 110 0
24 1 21 111 0
24 2 19 110 0
24 3 18 115 0
24 4 15 120 0
25 0 20 110 0
25 1 21 111 0
25 2 19 110 0
25 3 18 115 0
25 4 15 120 0
26 0 20 110 0
26 1 21 111 0
26 2 19 110 0
26 3 18 115 0
26 4 15 120 0
27 0 20 110 0
27 1 21 111 0
27 2 19 110 0
27 3 18 115 0
27 4 15 120 0
28 0 20 110 0
28 1 21 111 0
28 2 19 110 0
28 3 18 115 0
28 4 15 120 0
29 0 20 110 0
29 1 21 111 0
29 2 19 110 0
