% output_type: 'OUTPUT_TYPE_SUM'
% count: 4953
% sum: 21792.6

% time_sec throughput_kbps
1 0
2 189.544
3 220.4
4 220.4
5 220.784
6 220.4
7 220.4
8 220.4
9 220.4
10 220.4
11 220.4
12 220.4
13 220.4
14 220.784
15 220.4
16 220.4
17 220.4
18 220.4
19 220.4
20 220.4
21 220.4
22 220.4
23 220.4
24 220.4
25 220.4
26 220.4
27 220.4
28 220.4
29 220.4
30 220.4
31 220.4
32 220.4
33 220.4
34 220.4
35 220.4
36 220.4
37 220.784
38 220.4
39 220.784
40 220.4
41 220.4
42 220.4
43 220.4
44 220.4
45 220.4
46 220.4
47 220.4
48 220.4
49 220.4
50 220.4
51 220.4
52 220.4
53 220.784
54 220.4
55 220.4
56 220.784
57 220.4
58 220.4
59 220.4
60 220.4
61 220.4
62 220.4
63 220.4
64 220.4
65 220.4
66 220.4
67 220.4
68 220.4
69 220.4
70 220.784
71 220.4
72 220.4
73 220.4
74 220.4
75 220.4
76 220.4
77 220.4
78 220.4
79 220.4
80 220.4
81 220.4
82 220.4
83 220.4
84 220.4
85 220.784
86 220.4
87 220.4
88 220.784
89 220.4
90 220.4
91 220.4
92 220.784
93 220.4
94 220.4
95 220.4
96 220.4
97 220.4
98 220.4
99 220.4

