% output_type: 'OUTPUT_TYPE_SUM'
% count: 4931
% sum: 20197.4

% time_sec throughput_kbps
1 0
2 122.88
3 253.952
4 196.608
5 196.608
6 204.8
7 208.896
8 204.8
9 204.8
10 204.8
11 204.8
12 204.8
13 204.8
14 196.608
15 204.8
16 208.896
17 204.8
18 204.8
19 204.8
20 204.8
21 204.8
22 204.8
23 204.8
24 204.8
25 204.8
26 204.8
27 204.8
28 204.8
29 204.8
30 204.8
31 204.8
32 204.8
33 204.8
34 204.8
35 204.8
36 204.8
37 200.704
38 196.608
39 192.512
40 221.184
41 204.8
42 204.8
43 204.8
44 204.8
45 204.8
46 204.8
47 204.8
48 204.8
49 204.8
50 204.8
51 204.8
52 204.8
53 188.416
54 217.088
55 208.896
56 200.704
57 188.416
58 217.088
59 204.8
60 204.8
61 204.8
62 204.8
63 204.8
64 204.8
65 204.8
66 204.8
67 204.8
68 204.8
69 204.8
70 180.224
71 225.28
72 204.8
73 204.8
74 204.8
75 204.8
76 204.8
77 204.8
78 204.8
79 204.8
80 204.8
81 204.8
82 204.8
83 204.8
84 204.8
85 176.128
86 229.376
87 204.8
88 180.224
89 229.376
90 204.8
91 204.8
92 180.224
93 225.28
94 204.8
95 204.8
96 204.8
97 204.8
98 204.8
99 204.8

