% output_type: 'OUTPUT_TYPE_SUM'
% count: 9809
% sum: 21615.2

% time_sec throughput_kbps
1 0
2 132.08
3 271.328
4 210.528
5 210.496
6 218.96
7 223.536
8 219.2
9 219.2
10 219.2
11 219.2
12 219.2
13 219.2
14 210.496
15 218.96
16 223.536
17 219.2
18 219.2
19 219.2
20 219.2
21 219.2
22 219.2
23 219.2
24 219.2
25 219.2
26 219.2
27 219.2
28 219.2
29 219.2
30 219.2
31 219.2
32 219.2
33 219.2
34 219.2
35 219.2
36 219.2
37 214.88
38 210.24
39 205.968
40 236.4
41 219.248
42 219.2
43 219.2
44 219.2
45 219.2
46 219.2
47 219.2
48 219.2
49 219.2
50 219.2
51 219.2
52 219.2
53 201.68
54 232.016
55 223.584
56 214.928
57 201.52
58 232.208
59 219.2
60 219.2
61 219.2
62 219.2
63 219.2
64 219.2
65 219.2
66 219.2
67 219.2
68 219.2
69 219.2
70 192.912
71 240.88
72 219.2
73 219.2
74 219.2
75 219.2
76 219.2
77 219.2
78 219.2
79 219.2
80 219.2
81 219.2
82 219.2
83 219.2
84 219.2
85 188.528
86 245.216
87 219.2
88 192.912
89 245.168
90 219.2
91 219.2
92 192.912
93 240.88
94 219.2
95 219.2
96 219.2
97 219.2
98 219.2
99 219.2

