% output_type: 'OUTPUT_TYPE_SUM'
% count: 12499
% sum: 21732.9

% time_sec throughput_kbps
1 0
2 152.832
3 262.144
4 213.904
5 211.136
6 225.416
7 223.128
8 219.84
9 219.84
10 219.84
11 219.84
12 219.84
13 219.84
14 211.136
15 225.416
16 223.128
17 219.84
18 219.84
19 219.84
20 219.84
21 219.84
22 219.84
23 219.84
24 219.84
25 219.84
26 219.84
27 219.84
28 219.84
29 219.84
30 219.84
31 219.84
32 219.84
33 219.84
34 219.84
35 219.84
36 219.84
37 215.52
38 219.28
39 201.416
40 241.52
41 221.224
42 219.84
43 219.84
44 219.84
45 219.84
46 219.84
47 219.84
48 219.84
49 219.84
50 219.84
51 219.84
52 219.84
53 200.792
54 237.136
55 224.16
56 216.936
57 208.456
58 231.32
59 219.84
60 219.84
61 219.84
62 219.84
63 219.84
64 219.84
65 219.84
66 219.84
67 219.84
68 219.84
69 219.84
70 202.096
71 237.744
72 219.84
73 219.84
74 219.84
75 219.84
76 219.84
77 219.84
78 219.84
79 219.84
80 219.84
81 219.84
82 219.84
83 219.84
84 219.84
85 193.952
86 245.36
87 219.808
88 191.96
89 247.352
90 219.808
91 219.84
92 202.096
93 237.744
94 219.84
95 219.84
96 219.84
97 219.84
98 219.84
99 219.84

