% beam_id service_time
72 200
71 200
70 200
69 200
68 200
67 200
66 200
65 200
64 200
63 200
62 200
61 200
60 200
59 200
58 200
57 200
56 200
55 200
54 200
53 200
52 200
51 200
50 200
49 200
48 200
47 200
46 200
45 200
44 200
43 200
42 200
41 200
40 200
39 200
38 200
37 200
36 200
35 200
34 200
33 200
32 200
31 200
30 200
29 200
28 200
27 200
26 200
25 200
24 200
23 200
22 200
21 200
20 200
19 200
18 200
17 200
16 200
15 200
14 200
13 200
12 200
11 200
10 200
9 200
8 200
7 200
6 200
5 200
4 200
3 200
2 200
1 200

