% output_type: 'OUTPUT_TYPE_SUM'
% count: 2894
% sum: 11853.8

% time_sec throughput_kbps
1 0
2 32.768
3 40.96
4 40.96
5 49.152
6 81.92
7 81.92
8 81.92
9 81.92
10 81.92
11 81.92
12 81.92
13 81.92
14 90.112
15 122.88
16 122.88
17 122.88
18 122.88
19 122.88
20 122.88
21 122.88
22 122.88
23 122.88
24 122.88
25 122.88
26 122.88
27 122.88
28 122.88
29 122.88
30 122.88
31 122.88
32 122.88
33 122.88
34 122.88
35 122.88
36 122.88
37 126.976
38 163.84
39 184.32
40 204.8
41 204.8
42 204.8
43 204.8
44 204.8
45 204.8
46 204.8
47 204.8
48 204.8
49 204.8
50 204.8
51 204.8
52 204.8
53 188.416
54 163.84
55 163.84
56 163.84
57 122.88
58 122.88
59 122.88
60 122.88
61 122.88
62 122.88
63 122.88
64 122.88
65 122.88
66 122.88
67 122.88
68 122.88
69 122.88
70 86.016
71 81.92
72 81.92
73 81.92
74 81.92
75 81.92
76 81.92
77 81.92
78 81.92
79 81.92
80 81.92
81 81.92
82 81.92
83 81.92
84 81.92
85 114.688
86 122.88
87 122.88
88 122.88
89 122.88
90 122.88
91 122.88
92 86.016
93 81.92
94 81.92
95 81.92
96 81.92
97 81.92
98 81.92
99 81.92

