% output_type: 'OUTPUT_TYPE_SUM'
% count: 2054
% sum: 9033.91

% time_sec throughput_kbps
1 0
2 154.28
3 176.32
4 176.32
5 167.888
6 132.24
7 132.24
8 132.24
9 132.24
10 132.24
11 132.24
12 132.24
13 132.24
14 123.808
15 88.16
16 88.16
17 88.16
18 88.16
19 88.16
20 88.16
21 88.16
22 88.16
23 88.16
24 88.16
25 88.16
26 88.16
27 88.16
28 88.16
29 88.16
30 88.16
31 88.16
32 88.16
33 88.16
34 88.16
35 88.16
36 88.16
37 84.136
38 44.08
39 22.424
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
50 0
51 0
52 0
53 17.632
54 44.08
55 44.08
56 44.08
57 88.16
58 88.16
59 88.16
60 88.16
61 88.16
62 88.16
63 88.16
64 88.16
65 88.16
66 88.16
67 88.16
68 88.16
69 88.16
70 127.832
71 132.24
72 132.24
73 132.24
74 132.24
75 132.24
76 132.24
77 132.24
78 132.24
79 132.24
80 132.24
81 132.24
82 132.24
83 132.24
84 132.24
85 97.36
86 88.16
87 88.16
88 88.16
89 88.16
90 88.16
91 88.16
92 127.832
93 132.24
94 132.24
95 132.24
96 132.24
97 132.24
98 132.24
99 132.24

