% output_type: 'OUTPUT_TYPE_SUM'
% count: 3945
% sum: 16158.7

% time_sec throughput_kbps
1 0
2 98.304
3 200.704
4 159.744
5 155.648
6 163.84
7 167.936
8 163.84
9 163.84
10 163.84
11 163.84
12 163.84
13 163.84
14 155.648
15 163.84
16 167.936
17 163.84
18 163.84
19 163.84
20 163.84
21 163.84
22 163.84
23 163.84
24 163.84
25 163.84
26 163.84
27 163.84
28 163.84
29 163.84
30 163.84
31 163.84
32 163.84
33 163.84
34 163.84
35 163.84
36 163.84
37 159.744
38 155.648
39 151.552
40 180.224
41 163.84
42 163.84
43 163.84
44 163.84
45 163.84
46 163.84
47 163.84
48 163.84
49 163.84
50 163.84
51 163.84
52 163.84
53 163.84
54 163.84
55 163.84
56 163.84
57 147.456
58 176.128
59 163.84
60 163.84
61 163.84
62 163.84
63 163.84
64 163.84
65 163.84
66 163.84
67 163.84
68 163.84
69 163.84
70 139.264
71 184.32
72 163.84
73 163.84
74 163.84
75 163.84
76 163.84
77 163.84
78 163.84
79 163.84
80 163.84
81 163.84
82 163.84
83 163.84
84 163.84
85 163.84
86 163.84
87 163.84
88 139.264
89 188.416
90 163.84
91 163.84
92 139.264
93 184.32
94 163.84
95 163.84
96 163.84
97 163.84
98 163.84
99 163.84

