% output_type: 'OUTPUT_TYPE_SUM'
% count: 5745
% sum: 12663.9

% time_sec throughput_kbps
1 0
2 26.416
3 56.896
4 39.504
5 43.84
6 87.44
7 92.016
8 87.68
9 87.68
10 87.68
11 87.68
12 87.68
13 87.68
14 87.68
15 131.28
16 135.856
17 131.52
18 131.52
19 131.52
20 131.52
21 131.52
22 131.52
23 131.52
24 131.52
25 131.52
26 131.52
27 131.52
28 131.52
29 131.52
30 131.52
31 131.52
32 131.52
33 131.52
34 131.52
35 131.52
36 131.52
37 131.52
38 166.4
39 184.032
40 236.4
41 219.248
42 219.2
43 219.2
44 219.2
45 219.2
46 219.2
47 219.2
48 219.2
49 219.2
50 219.2
51 219.2
52 219.2
53 201.68
54 175.36
55 175.36
56 175.424
57 131.52
58 131.52
59 131.52
60 131.52
61 131.52
62 131.52
63 131.52
64 131.52
65 131.52
66 131.52
67 131.52
68 131.52
69 131.52
70 92.128
71 87.68
72 87.68
73 87.68
74 87.68
75 87.68
76 87.68
77 87.68
78 87.68
79 87.68
80 87.68
81 87.68
82 87.68
83 87.68
84 87.68
85 92.064
86 157.536
87 131.52
88 105.232
89 157.488
90 131.52
91 131.52
92 92.128
93 87.68
94 87.68
95 87.68
96 87.68
97 87.68
98 87.68
99 87.68

