% output_type: 'OUTPUT_TYPE_SUM'
% count: 7199
% sum: 12732.4

% time_sec throughput_kbps
1 0
2 30.232
3 55.496
4 41.192
5 44.16
6 93.576
7 91.288
8 88
9 88
10 88
11 88
12 88
13 88
14 88
15 137.416
16 135.128
17 131.84
18 131.84
19 131.84
20 131.84
21 131.84
22 131.84
23 131.84
24 131.84
25 131.84
26 131.84
27 131.84
28 131.84
29 131.84
30 131.84
31 131.84
32 131.84
33 131.84
34 131.84
35 131.84
36 131.84
37 131.84
38 175.12
39 180.72
40 241.52
41 221.224
42 219.84
43 219.84
44 219.84
45 219.84
46 219.84
47 219.84
48 219.84
49 219.84
50 219.84
51 219.84
52 219.84
53 200.792
54 175.68
55 175.68
56 175.744
57 131.84
58 131.84
59 131.84
60 131.84
61 131.84
62 131.84
63 131.84
64 131.84
65 131.84
66 131.84
67 131.84
68 131.84
69 131.84
70 92.448
71 88
72 88
73 88
74 88
75 88
76 88
77 88
78 88
79 88
80 88
81 88
82 88
83 88
84 88
85 98.824
86 157.68
87 132.128
88 104.28
89 159.672
90 132.128
91 132.16
92 92.768
93 88.32
94 88.32
95 88.32
96 88.32
97 88.32
98 88.32
99 88.32

