% output_type: 'OUTPUT_TYPE_SUM'
% count: 4105
% sum: 16814.1

% time_sec throughput_kbps
1 0
2 176.128
3 204.8
4 204.8
5 204.8
6 204.8
7 204.8
8 204.8
9 204.8
10 204.8
11 204.8
12 204.8
13 204.8
14 204.8
15 204.8
16 204.8
17 204.8
18 204.8
19 204.8
20 204.8
21 204.8
22 204.8
23 204.8
24 204.8
25 204.8
26 204.8
27 204.8
28 204.8
29 204.8
30 204.8
31 204.8
32 204.8
33 204.8
34 204.8
35 204.8
36 204.8
37 204.8
38 204.8
39 204.8
40 204.8
41 204.8
42 204.8
43 204.8
44 204.8
45 204.8
46 204.8
47 204.8
48 204.8
49 204.8
50 204.8
51 204.8
52 204.8
53 204.8
54 204.8
55 204.8
56 204.8
57 163.84
58 163.84
59 163.84
60 163.84
61 163.84
62 163.84
63 163.84
64 163.84
65 163.84
66 163.84
67 163.84
68 163.84
69 163.84
70 126.976
71 122.88
72 122.88
73 122.88
74 122.88
75 122.88
76 122.88
77 122.88
78 122.88
79 122.88
80 122.88
81 122.88
82 122.88
83 122.88
84 122.88
85 122.88
86 122.88
87 122.88
88 122.88
89 122.88
90 122.88
91 122.88
92 86.016
93 81.92
94 81.92
95 81.92
96 81.92
97 81.92
98 81.92
99 81.92

