% output_type: 'OUTPUT_TYPE_SUM'
% count: 991
% sum: 4360.28

% time_sec throughput_kbps
1 0
2 39.672
3 44.08
4 44.08
5 44.464
6 44.08
7 44.08
8 44.08
9 44.08
10 44.08
11 44.08
12 44.08
13 44.08
14 44.08
15 44.08
16 44.08
17 44.08
18 44.08
19 44.08
20 44.08
21 44.08
22 44.08
23 44.08
24 44.08
25 44.08
26 44.08
27 44.08
28 44.08
29 44.08
30 44.08
31 44.08
32 44.08
33 44.08
34 44.08
35 44.08
36 44.08
37 44.08
38 44.08
39 44.08
40 44.08
41 44.08
42 44.08
43 44.08
44 44.08
45 44.08
46 44.08
47 44.08
48 44.08
49 44.08
50 44.08
51 44.08
52 44.08
53 44.08
54 44.08
55 44.08
56 44.464
57 44.08
58 44.08
59 44.08
60 44.08
61 44.08
62 44.08
63 44.08
64 44.08
65 44.08
66 44.08
67 44.08
68 44.08
69 44.08
70 44.08
71 44.08
72 44.08
73 44.08
74 44.08
75 44.08
76 44.08
77 44.08
78 44.08
79 44.08
80 44.08
81 44.08
82 44.08
83 44.08
84 44.08
85 44.08
86 44.08
87 44.08
88 44.08
89 44.08
90 44.08
91 44.08
92 44.08
93 44.08
94 44.08
95 44.08
96 44.08
97 44.08
98 44.08
99 44.08

