# time lat lon alt
0.000 56.011944444 92.967913547 20000.000
1.000 56.012034376 92.967913413 20000.000
2.000 56.012124308 92.967913010 20000.000
3.000 56.012214239 92.967912340 20000.000
4.000 56.012304170 92.967911402 20000.000
5.000 56.012394099 92.967910195 20000.000
6.000 56.012484028 92.967908720 20000.000
7.000 56.012573954 92.967906978 20000.000
8.000 56.012663879 92.967904967 20000.000
9.000 56.012753802 92.967902688 20000.000
10.000 56.012843723 92.967900141 20000.000
11.000 56.012933641 92.967897326 20000.000
12.000 56.013023557 92.967894242 20000.000
13.000 56.013113469 92.967890891 20000.000
14.000 56.013203379 92.967887272 20000.000
15.000 56.013293284 92.967883384 20000.000
16.000 56.013383186 92.967879229 20000.000
17.000 56.013473084 92.967874805 20000.000
18.000 56.013562978 92.967870114 20000.000
19.000 56.013652867 92.967865154 20000.000
20.000 56.013742752 92.967859927 20000.000
21.000 56.013832632 92.967854431 20000.000
22.000 56.013922506 92.967848668 20000.000
23.000 56.014012375 92.967842636 20000.000
24.000 56.014102238 92.967836337 20000.000
25.000 56.014192095 92.967829770 20000.000
26.000 56.014281946 92.967822935 20000.000
27.000 56.014371790 92.967815832 20000.000
28.000 56.014461627 92.967808461 20000.000
29.000 56.014551458 92.967800822 20000.000
30.000 56.014641281 92.967792916 20000.000
31.000 56.014731097 92.967784742 20000.000
32.000 56.014820905 92.967776300 20000.000
33.000 56.014910705 92.967767590 20000.000
34.000 56.015000497 92.967758612 20000.000
35.000 56.015090281 92.967749367 20000.000
36.000 56.015180055 92.967739854 20000.000
37.000 56.015269821 92.967730074 20000.000
38.000 56.015359578 92.967720026 20000.000
39.000 56.015449324 92.967709710 20000.000
40.000 56.015539062 92.967699127 20000.000
41.000 56.015628789 92.967688276 20000.000
42.000 56.015718506 92.967677158 20000.000
43.000 56.015808212 92.967665772 20000.000
44.000 56.015897908 92.967654119 20000.000
45.000 56.015987593 92.967642198 20000.000
46.000 56.016077267 92.967630010 20000.000
47.000 56.016166929 92.967617555 20000.000
48.000 56.016256579 92.967604832 20000.000
49.000 56.016346217 92.967591843 20000.000
50.000 56.016435843 92.967578585 20000.000
51.000 56.016525457 92.967565061 20000.000
52.000 56.016615058 92.967551270 20000.000
53.000 56.016704646 92.967537211 20000.000
54.000 56.016794221 92.967522886 20000.000
55.000 56.016883782 92.967508293 20000.000
56.000 56.016973330 92.967493433 20000.000
57.000 56.017062863 92.967478307 20000.000
58.000 56.017152383 92.967462913 20000.000
59.000 56.017241888 92.967447253 20000.000
60.000 56.017331378 92.967431325 20000.000
61.000 56.017420853 92.967415131 20000.000
62.000 56.017510313 92.967398671 20000.000
63.000 56.017599757 92.967381943 20000.000
64.000 56.017689186 92.967364949 20000.000
65.000 56.017778599 92.967347688 20000.000
66.000 56.017867996 92.967330161 20000.000
67.000 56.017957376 92.967312367 20000.000
68.000 56.018046740 92.967294307 20000.000
69.000 56.018136086 92.967275980 20000.000
70.000 56.018225416 92.967257387 20000.000
71.000 56.018314728 92.967238528 20000.000
72.000 56.018404022 92.967219403 20000.000
73.000 56.018493298 92.967200011 20000.000
74.000 56.018582556 92.967180353 20000.000
75.000 56.018671796 92.967160429 20000.000
76.000 56.018761017 92.967140239 20000.000
77.000 56.018850219 92.967119783 20000.000
78.000 56.018939402 92.967099061 20000.000
79.000 56.019028565 92.967078074 20000.000
80.000 56.019117709 92.967056820 20000.000
81.000 56.019206833 92.967035301 20000.000
82.000 56.019295936 92.967013516 20000.000
83.000 56.019385019 92.966991465 20000.000
84.000 56.019474082 92.966969149 20000.000
85.000 56.019563124 92.966946567 20000.000
86.000 56.019652144 92.966923720 20000.000
87.000 56.019741143 92.966900608 20000.000
88.000 56.019830121 92.966877230 20000.000
89.000 56.019919076 92.966853587 20000.000
90.000 56.020008009 92.966829679 20000.000
91.000 56.020096920 92.966805505 20000.000
92.000 56.020185809 92.966781067 20000.000
